Song,Artist,Weeks On #1,Weeks On Chart
Try,Colbie Caillat,0,20
Try Me,DeJ Loaf,0,20
Tuesday,I LOVE MAKONNEN Featuring Drake,0,22
Uma Thurman,Fall Out Boy,0,3
Uptown Funk!,Mark Ronson Featuring Bruno Mars,14,24
Used To,Drake Featuring Lil Wayne,0,2
Velvet,Chris Jamison,0,0
Want To Want Me,Jason Derulo,0,7
Wasted Love,Matt McAndrew,0,0
Watch Me,Silento,0,9
Waves,Mr. Probz,0,25
Wesley's Theory,Kendrick Lamar Featuring George Clinton & Thundercat,0,0
Wet Dreamz,J. Cole,0,3
What Kind Of Man,Florence + The Machine,0,2
What We Ain't Got,Jake Owen,0,11
Where Are U Now,Skrillex & Diplo With Justin Bieber,0,8
Where You Belong,The Weeknd,0,0
Wild Child,Kenny Chesney With Grace Potter,0,6
Wonderland,Taylor Swift,0,0
Work It,"Missy ""Misdemeanor"" Elliott",0,26
Worth It,Fifth Harmony Featuring Kid Ink,0,10
Yellow Flicker Beat,Lorde,0,9
You Are In Love,Taylor Swift,0,0
You Know You Like It,DJ Snake & AlunaGeorge,0,5
You're So Beautiful,Empire Cast Featuring Jussie Smollett & Yazz,0,4
